d_vendor_name,d_fiscal_year,total
1019837 ONTARIO,2017-2018,25053.4
3M CANADA COMPANY,2017-2018,42376.18
3M CANADA COMPANY,2018-2019,22268.86
3M CANADA COMPANY,2020-2021,0
9053 9776 QUEBEC,2019-2020,2620306.73
9053 9776 QUEBEC,2020-2021,3427999.84
ACKLANDS GRAINGER,2017-2018,109382.68
ACKLANDS GRAINGER,2018-2019,144787.78
ACKLANDS GRAINGER,2019-2020,690702.59
ACKLANDS GRAINGER,2020-2021,2501820.9
ADAPT PHARMA CANADA,2017-2018,205399.88
ADAPT PHARMA CANADA,2018-2019,74592.18
ADAPT PHARMA CANADA,2019-2020,382841.48
ADAPT PHARMA CANADA,2020-2021,222879.2
ADVANCED PARAMEDIC,2018-2019,1181651.36
ADVANCED PARAMEDIC,2019-2020,3574251.23
ADVANCED PARAMEDIC,2020-2021,5244366.75
AGILEC,2020-2021,19631.01
AGILENT,2017-2018,45889.82
AGILENT,2018-2019,193201.05
AGILENT,2020-2021,31207.76
AIM HEALTH GROUP,2017-2018,2236337.65
AIM HEALTH GROUP,2018-2019,2236337.65
AIM HEALTH GROUP,2019-2020,2215930.01
AIM HEALTH GROUP,2020-2021,2172619.71
ALBERTA SEVENTH STEP SOCIETY,2017-2018,1189554.54
ALBERTA SEVENTH STEP SOCIETY,2018-2019,1189554.54
ALBERTA SEVENTH STEP SOCIETY,2019-2020,1304192
ALBERTA SEVENTH STEP SOCIETY,2020-2021,1300628.63
ALS CANADA,2017-2018,565260.65
ALS CANADA,2018-2019,1841204.32
ALS CANADA,2019-2020,2300495.93
ALS CANADA,2020-2021,2219026.31
ALTIS HUMAN RESOURCES,2017-2018,131893.28
ALTIS HUMAN RESOURCES,2018-2019,131893.28
ALTIS HUMAN RESOURCES,2019-2020,132254.64
ALTIS HUMAN RESOURCES,2020-2021,77329.21
AMD MEDICOM,2019-2020,170389.69
AMD MEDICOM,2020-2021,10365373.07
AMDOCS,2017-2018,2816929.49
AMDOCS,2018-2019,353944.5
AON REED STENHOUSE,2019-2020,14494.77
AON REED STENHOUSE,2020-2021,62242.25
APPAREL TRIMMINGS,2019-2020,4639826.61
APPAREL TRIMMINGS,2020-2021,5243147.71
ATS SERVICES,2019-2020,502.37
ATS SERVICES,2020-2021,9650.81
B BRAUN OF CANADA,2020-2021,3993774.25
BAUER HOCKEY,2020-2021,7345000
BAVARIAN NORDIC,2017-2018,4407820.34
BAVARIAN NORDIC,2018-2019,4406958.04
BAXTER,2020-2021,12983229.65
BAYSHORE HEALTHCARE,2017-2018,262490.14
BAYSHORE HEALTHCARE,2018-2019,225549.35
BAYSHORE HEALTHCARE,2019-2020,543276.38
BAYSHORE HEALTHCARE,2020-2021,21220628.43
BIO NUCLEAR DIAGNOSTICS,2019-2020,253186.29
BIO NUCLEAR DIAGNOSTICS,2020-2021,51567670.28
BIOMERIEUX CANADA,2017-2018,11369.94
BIOMERIEUX CANADA,2018-2019,10080.2
BIOMERIEUX CANADA,2020-2021,27577079.22
BOMIMED,2019-2020,78618.01
BOMIMED,2020-2021,7121983.94
BRETON MICHEL MD,2017-2018,2703148.68
BRETON MICHEL MD,2018-2019,2775214.31
BRETON MICHEL MD,2019-2020,2929718.59
BRETON MICHEL MD,2020-2021,2921713.9
BUREAU NATHALIE,2017-2018,3033775.83
BUREAU NATHALIE,2018-2019,841845.83
BUREAU NATHALIE,2019-2020,844152.26
BUREAU NATHALIE,2020-2021,865155.77
BUREAU VERITAS CANADA,2017-2018,105794.32
BUREAU VERITAS CANADA,2018-2019,182145.89
BUREAU VERITAS CANADA,2019-2020,182644.92
BUREAU VERITAS CANADA,2020-2021,182145.89
CAE,2020-2021,282500000
CALIAN,2017-2018,124714540.27
CALIAN,2018-2019,236247394.78
CALIAN,2019-2020,238839779.02
CALIAN,2020-2021,240769278.13
CALKO GROUP,2020-2021,17514455.97
CAMPBELL DRUG STORES,2019-2020,1790850.95
CAMPBELL DRUG STORES,2020-2021,163415149.05
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,134500.66
CANADIAN EMERGENCY VENTILATORS,2020-2021,169500000
CANADIAN RED CROSS,2019-2020,1477710.08
CANADIAN RED CROSS,2020-2021,19267369.99
CANADIAN VETERANS VR SERVICE,2017-2018,8995962.19
CANADIAN VETERANS VR SERVICE,2018-2019,6136971.47
