d_vendor_name,d_fiscal_year,total
6578705 CANADA P R SERVICES,2018-2019,53327.20450281426
6578705 CANADA P R SERVICES,2019-2020,116872.79549718574
ADGA GROUP,2019-2020,123170
ADRM TECHNOLOGY CONSULTING,2019-2020,76020.75
ADRM TECHNOLOGY CONSULTING,2020-2021,117887.25
ADVANCED BUSINESS INTERIORS,2018-2019,83573.16
ADVANCED BUSINESS INTERIORS,2020-2021,22164.989999999998
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,364764.94
ALTIS HUMAN RESOURCES,2017-2018,56792.36318944844
ALTIS HUMAN RESOURCES,2018-2019,20735.776633641162
ALTIS HUMAN RESOURCES,2019-2020,159090.57484095613
ALTIS HUMAN RESOURCES,2020-2021,298914.06852540275
ASOKAN BUSINESS INTERIORS,2018-2019,72634.09348837209
ASOKAN BUSINESS INTERIORS,2019-2020,300504.51651162794
ASOKAN BUSINESS INTERIORS,2020-2021,173861.95
AVI SPL,2018-2019,31534.49
AVI SPL,2019-2020,38472.479999999996
AVI SPL,2020-2021,258779.33594750354
AVI SPL CANADA,2017-2018,645484.54
AVI SPL CANADA,2018-2019,842779.69
AVI SPL CANADA,2019-2020,432990.4870575875
AVI SPL CANADA,2020-2021,207902.41294241245
BELL CANADA,2019-2020,34477.69075239398
BELL CANADA,2020-2021,609830.639247606
BLACKBERRY,2017-2018,24998
BLACKBERRY,2018-2019,17558
BLACKBERRY,2019-2020,93564
BLACKBERRY,2020-2021,11203.541342465754
CALIAN,2018-2019,296.3149726775956
CALIAN,2019-2020,427382.1067520024
CALIAN,2020-2021,261540.6940710968
CANADA POST,2019-2020,96050
CANADA POST,2020-2021,90000
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,3737718.3513369863
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,8161590.963068205
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,4209206.973654918
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,5679038.5695270635
CBCI,2020-2021,734087.7443603661
CBCI TELECOM,2018-2019,281507.8
CBCI TELECOM,2019-2020,426184.49
CMG OFFICE INTERIORS,2017-2018,41406
CMG OFFICE INTERIORS,2019-2020,130110.56
COFORCE,2017-2018,72506.73481973434
COFORCE,2019-2020,44148.48
COFORCE,2020-2021,189736.32
COMPUCOM CANADA,2017-2018,288271.03
COMPUCOM CANADA,2018-2019,48924.48
COMPUCOM CANADA,2020-2021,15572.837753424657
CONEXSYS,2017-2018,24798.091856404204
CONEXSYS,2018-2019,184959.37163493581
CONEXSYS,2019-2020,88620.40742023702
CONEXSYS,2020-2021,64165.04908842298
CONOSCENTI TECHNOLOGIES,2017-2018,86775.61328125
CONOSCENTI TECHNOLOGIES,2018-2019,86775.61328125
CONOSCENTI TECHNOLOGIES,2019-2020,11017.5
CONOSCENTI TECHNOLOGIES,2020-2021,12430
CSI CONSULTING,2019-2020,164815.63636363635
CSI CONSULTING,2020-2021,157912.36363636362
DARE HUMAN RESOURCES,2017-2018,35527.5432276657
DARE HUMAN RESOURCES,2018-2019,2920.0720461095098
DARE HUMAN RESOURCES,2019-2020,39052.8
DARE HUMAN RESOURCES,2020-2021,39052.8
DELL COMPUTER,2019-2020,7591.367228915663
DELL COMPUTER,2020-2021,132239.35277108435
DELOITTE AND TOUCHE,2017-2018,18346.774193548386
DELOITTE AND TOUCHE,2018-2019,2632.298772169168
DELOITTE AND TOUCHE,2019-2020,192684.2701227831
DELOITTE AND TOUCHE,2020-2021,192157.81036834928
DONNA CONA,2017-2018,374195.2030100334
DONNA CONA,2018-2019,162118.38607293597
DONNA CONA,2019-2020,430494.94039301306
DONNA CONA,2020-2021,32037.720524017466
DOUBLETREE BY HILTON HOTEL CONFERENCE CENTRE,2018-2019,115630
ECLIPSYS SOLUTIONS,2018-2019,226888.09369863014
ECLIPSYS SOLUTIONS,2019-2020,52964.90630136986
EMINENT SYSTEMS,2017-2018,107426
EMINENT SYSTEMS,2019-2020,111978.79963735267
EMINENT SYSTEMS,2020-2021,215117.16772438804
EMINENT SYSTEMS 1728193 ONTARIO INC,2017-2018,15394.338504672896
EMINENT SYSTEMS 1728193 ONTARIO INC,2018-2019,92031.3714953271
EXCEL HUMAN RESOURCES,2017-2018,48096.39545454546
EXCEL HUMAN RESOURCES,2018-2019,76734.14132063983
EXCEL HUMAN RESOURCES,2019-2020,1020199.5745368915
EXCEL HUMAN RESOURCES,2020-2021,497569.81479667424
FCA CANADA,2017-2018,145045.68
FEDERAL EXPRESS,2020-2021,456000
FREEBALANCE,2017-2018,83535.25
FREEBALANCE,2018-2019,84368.55811083123
FREEBALANCE,2019-2020,120220.60188916877
GA,2019-2020,55364.71900131406
GA,2020-2021,55213.44927726675
GCSTRATEGIES,2017-2018,202.9387755102041
GCSTRATEGIES,2018-2019,18924.04081632653
GCSTRATEGIES,2019-2020,55706.69387755102
GCSTRATEGIES,2020-2021,37036.32653061225
HCM WORKS,2019-2020,186975.7219251337
HCM WORKS,2020-2021,179144.2780748663
HEARTZAP SERVICES,2017-2018,144373.87999999998
HYPERTEC,2017-2018,277573.2
HYPERTEC,2018-2019,11460
HYPERTEC,2020-2021,41397
IBM CANADA,2017-2018,10840.666666666666
IBM CANADA,2018-2019,20318.519239367703
IBM CANADA,2019-2020,107665.81589827251
IBM CANADA,2020-2021,86179.62077839248
INDICIUM LEGAL CONSULTING,2019-2020,269656
INFO TECH GROUP,2020-2021,126914.7890410959
INTERNATIONAL REPORTING,2017-2018,383513.6078947368
INTERNATIONAL REPORTING,2018-2019,383513.6078947368
INTERNATIONAL REPORTING,2019-2020,458449.95401814836
INTERNATIONAL REPORTING,2020-2021,568844.3150366396
INTERNATIONAL REPORTING AND TRANSCRIPTION,2017-2018,259863.82873326467
INTERNATIONAL REPORTING AND TRANSCRIPTION,2018-2019,259863.82873326467
ITEX,2017-2018,116397.34775956284
ITEX,2018-2019,121745.79996770987
ITEX,2019-2020,27929.2880276756
ITEX,2020-2021,117646.21424505167
JOHN MOORE CONSTRUCTION,2018-2019,256378.91999999995
JOHN MOORE CONSTRUCTION MANAGEMENT,2019-2020,11801.03
JOHN MOORE CONSTRUCTION MANAGEMENT,2020-2021,1307182.87
JOHN MOORE CONTRUCTION MANAGEMENT,2017-2018,229408.25
LANGUAGE RESEARCH DEVELOPMENT GROUP,2017-2018,47611.28599850551
LANGUAGE RESEARCH DEVELOPMENT GROUP,2018-2019,82145.2946945638
LANGUAGE RESEARCH DEVELOPMENT GROUP,2019-2020,106831.87301375462
LANGUAGE RESEARCH DEVELOPMENT GROUP,2020-2021,93602.35888795283
LEO PISCES SERVICES GROUP,2018-2019,105348.60327683616
LEO PISCES SERVICES GROUP,2019-2020,521048.49728813564
LEO PISCES SERVICES GROUP,2020-2021,169100.30943502826
LES TRADUCTIONS TESSIER S C C,2017-2018,400000
LES TRADUCTIONS TESSIER S C C,2018-2019,330047.17
LEXUM,2017-2018,90679.45
LEXUM,2018-2019,96131
LEXUM INFORMATIQUE JURIDIQUE,2019-2020,9646.971428571429
LEXUM INFORMATIQUE JURIDIQUE,2020-2021,170460.7419047619
LIONBRIDGE,2017-2018,800000
LIONBRIDGE,2018-2019,400000
LIONBRIDGE,2019-2020,1200000
LIONBRIDGE,2020-2021,1200000
LMB INTERPRETATION SYSTEMS SERVICES,2019-2020,38095.659999999996
LMB INTERPRETATION SYSTEMS SERVICES,2020-2021,70208.74167355373
MASHA KRUPP TRANSLATION GROUP,2017-2018,400000
MAVERIN,2018-2019,34861.351224105456
MAVERIN,2019-2020,192474.20875706212
MAVERIN,2020-2021,42870.04001883239
MOERAE SOLUTIONS MSI,2020-2021,123815.83846153846
MOERAE SOLUTIONS MSICORP,2017-2018,142463.0800821355
MOERAE SOLUTIONS MSICORP,2018-2019,157796.91991786446
MTG MANAGEMENT CONSULTANT,2019-2020,74770.73170731707
MTG MANAGEMENT CONSULTANT,2020-2021,155019.26829268291
"NATTIQ",2017-2018,128594
"NATTIQ",2018-2019,100000
"NATTIQ",2019-2020,625488.7525045372
"NATTIQ",2020-2021,77856.45417422868
NISHA TECHONOLOGIES,2017-2018,75758
NISHA TECHONOLOGIES,2018-2019,51922.450000000004
NISHA TECHONOLOGIES,2019-2020,882504.3
NISHA TECHONOLOGIES,2020-2021,488219.62
NORTHERN MICRO,2017-2018,686944.23
OPENFRAME TECHNOLOGIES AND MINDSTREAM TC PSB IN JOINT VENTURE MINDFRAME,2020-2021,129132.6410677618
ORACLE CANADA,2017-2018,163183.13152634507
ORACLE CANADA,2018-2019,204109.1584736549
ORACLE CANADA,2019-2020,159314.26
ORACLE CANADA,2020-2021,66.321689373297
PROCUREMENT ALLIANCE OF CANADA,2019-2020,13474.664379562042
PROCUREMENT ALLIANCE OF CANADA,2020-2021,111778.4658759124
PROLOGIC SYSTEMS,2017-2018,118845.55
PSPC CHRYSLER CANADA,2017-2018,60613.5
PSPC CHRYSLER CANADA,2018-2019,72509.12000000001
PURELOGIC,2017-2018,184225.37906976743
PURELOGIC,2018-2019,18358.82093023256
PURELOGIC,2019-2020,44529.42354378819
PURELOGIC,2020-2021,15208.136456211812
PURESPIRIT SOLUTIONS,2017-2018,204574
PURESPIRIT SOLUTIONS,2018-2019,11132.880000000001
PURESPIRIT SOLUTIONS,2019-2020,49533.2
PURESPIRIT SOLUTIONS,2020-2021,170257.06999999998
QMR,2017-2018,101976.50537005693
QMR,2018-2019,30055.805970149253
QMR,2019-2020,197303.49231063604
QMR,2020-2021,268105.3464913817
QUICK MESSENGER CHRISTPHER KERRIGAN,2017-2018,113292.21666666665
QUICK MESSENGER CHRISTPHER KERRIGAN,2018-2019,113292.21666666665
REDI ANALYSIS,2017-2018,22890.64558629776
