d_vendor_name,d_fiscal_year,total
2484726 ONTARIO,2017-2018,1977500
ACCELERATING SUSTAINABILITY EVENTS,2017-2018,84000
ACCELERATING SUSTAINABILITY EVENTS,2018-2019,885957.864263158
ACCELERATING SUSTAINABILITY EVENTS,2019-2020,367025.23573684215
ADVANCED BUSINESS INTERIORS,2017-2018,1039683.7925832901
ADVANCED BUSINESS INTERIORS,2018-2019,326577.8767763158
ADVANCED BUSINESS INTERIORS,2019-2020,96958.16
AGILENT,2017-2018,376465.67227483465
AGILENT,2018-2019,337240.3559600645
AGILENT,2019-2020,501680.91117483453
AGILENT,2020-2021,562769.4914521022
ALTIS HUMAN RESOURCES,2017-2018,753923.3024309855
ALTIS HUMAN RESOURCES,2018-2019,372192.3603844866
ALTIS HUMAN RESOURCES,2019-2020,624243.3108744284
ALTIS HUMAN RESOURCES,2020-2021,1108333.0219149014
AMAZON WEB SERVICES,2020-2021,1062089.1228846153
AMERESCO CANADA,2017-2018,532943.9678773498
AMERESCO CANADA,2018-2019,557916.9678773498
AMERESCO CANADA,2019-2020,534404.0883372878
AMERESCO CANADA,2020-2021,532943.9678773498
ANSYS CANADA,2017-2018,380426.45647397835
ANSYS CANADA,2018-2019,736534.2748957226
ANSYS CANADA,2019-2020,364373.47240356274
ANSYS CANADA,2020-2021,271495.3902688689
APPTION,2019-2020,326677.6886716621
APPTION,2020-2021,879507.3392029974
ASPEN TECHNOLOGY,2017-2018,433444.8438868982
ASPEN TECHNOLOGY,2018-2019,431795.6647933063
ASPEN TECHNOLOGY,2019-2020,505226.39324090234
ASPEN TECHNOLOGY,2020-2021,455655.44621407136
ATCO,2017-2018,1214731.0529493724
ATCO,2018-2019,1306255.8841486415
ATCO,2019-2020,1275963.0057645985
ATCO,2020-2021,1260055.1814201989
BLAIR FRANKLIN CAPITAL PARTNERS,2017-2018,325186.1743589743
BLAIR FRANKLIN CAPITAL PARTNERS,2018-2019,325186.1743589743
BLAIR FRANKLIN CAPITAL PARTNERS,2019-2020,326077.09538461536
BLAIR FRANKLIN CAPITAL PARTNERS,2020-2021,432634.768951249
BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,2017-2018,2034000
CACHE COMPUTER CONSULTING,2018-2019,64527.2
CACHE COMPUTER CONSULTING,2019-2020,201832.85414971254
CACHE COMPUTER CONSULTING,2020-2021,719633.0729251438
CALIAN,2017-2018,982029.5027432038
CALIAN,2018-2019,842238.6407129992
CALIAN,2019-2020,910168.7935443125
CALIAN,2020-2021,405582.92282430216
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,3488132.8274324327
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,3810878.605044053
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,3722472.6899559475
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,4161443.8141416893
CANADIAN HELICOPTERS,2017-2018,12383.699999999999
CANADIAN HELICOPTERS,2018-2019,734418.4635054931
CANADIAN HELICOPTERS,2019-2020,895329.910217984
CANADIAN HELICOPTERS,2020-2021,453296.21813826147
CANADIAN NORTH,2017-2018,152434.64
CANADIAN NORTH,2018-2019,724208.6799999999
CANADIAN NORTH,2019-2020,502898.27
CANADIAN NORTH,2020-2021,761049.0599999999
CANON,2017-2018,425420.42253819335
CANON,2018-2019,397613.1457764696
CANON,2019-2020,380167.03404089255
CANON,2020-2021,348386.85975183925
CDW CANADA,2017-2018,26040
CDW CANADA,2018-2019,1124207.15
CDW CANADA,2019-2020,687497.24
CDW CANADA,2020-2021,344062.58
CGG CANADA SERVICES,2017-2018,366344.6401599153
CGG CANADA SERVICES,2018-2019,1557804.6598400846
CGG CANADA SERVICES,2019-2020,0.9972602739726028
CGG CANADA SERVICES,2020-2021,1.0027397260273974
CISTEL TECHNOLOGY,2017-2018,18321.60576407507
CISTEL TECHNOLOGY,2018-2019,662962.6465229575
CISTEL TECHNOLOGY,2019-2020,1348280.6469284801
CISTEL TECHNOLOGY,2020-2021,1328579.0510520572
COMPUSULT,2017-2018,648905.3015142526
COMPUSULT,2018-2019,388806.78803261445
COMPUSULT,2019-2020,389872.01210941613
COMPUSULT,2020-2021,388806.78803261445
CORADIX TECHNOLOGY CONSULTING,2018-2019,22600
CORADIX TECHNOLOGY CONSULTING,2019-2020,3688690.291928559
CORADIX TECHNOLOGY CONSULTING,2020-2021,311309.7080714411
