d_vendor_name,d_fiscal_year,total
10199516 CANADA TRAXXION,2020-2021,17232.5
3627730 CANADA INC OPERATING AS FREEMAN AUDIO VISUAL,2017-2018,22267.97
417 BUS LINE,2017-2018,70472.18098866052
417 BUS LINE,2018-2019,21841.90686746988
417 BUS LINE,2019-2020,25869.38
9334 5296 QUEBEC O A PRIME IMPRESSION,2018-2019,20121.52570093458
9334 5296 QUEBEC O A PRIME IMPRESSION,2019-2020,58915.82725233645
9334 5296 QUEBEC O A PRIME IMPRESSION,2020-2021,58754.855046728975
9334 5296 QUEBEC OPERATING AS PRIME IMPRESSION,2018-2019,20521.322695035462
9334 5296 QUEBEC OPERATING AS PRIME IMPRESSION,2019-2020,60086.43285106383
9334 5296 QUEBEC OPERATING AS PRIME IMPRESSION,2020-2021,35132.504453900714
ACCESS 2 NETWORKS,2019-2020,448.0372602739726
ACCESS 2 NETWORKS,2020-2021,40503.67666237796
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,15680.064520547943
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,21327.605479452053
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,8739.572191780822
ADWARE PROMOTION,2017-2018,27064.942985611513
ALLANTE AIRPORT TRANSPORTATION,2017-2018,9639.629509536784
ALLANTE AIRPORT TRANSPORTATION,2018-2019,13482.880490463214
ALTIS HUMAN RESOURCES,2019-2020,83560.53748283752
ALTIS HUMAN RESOURCES,2020-2021,423605.5025171624
APPTION,2017-2018,24973
ASTRAL MEDIA AFFICHAGE S E C,2018-2019,61259.92
ASTRAL MEDIA AFFICHAGE S E C,2019-2020,51263.9
ATELIER D ILATHAN,2018-2019,15176.71
BEARCOM CANADA,2017-2018,42045.42868377484
BEARCOM CANADA,2018-2019,42045.42868377484
BEARCOM CANADA,2019-2020,35249.04432119205
BESPOKE AUDIO VISUAL,2018-2019,19398.71
BESPOKE AUDIO VISUAL,2019-2020,51634.07
BLACKBERRY,2017-2018,4745.851397260274
BLACKBERRY,2018-2019,6725.908602739726
BLACKBERRY,2019-2020,15153.300000000001
BLACKBERRY,2020-2021,3030.6600000000003
BLAKE CASSELS GRAYDON,2020-2021,129671.57
BOUCHER VON ASSOCIATES,2018-2019,16243.75
CALIAN,2017-2018,27237.42042042042
CANADIAN HEARING SERVICES,2020-2021,23053.061224489797
CATHERINE AGUILLON,2017-2018,20186.230248306998
CAZASAIKALEY,2020-2021,57696.25
CDW CANADA,2017-2018,1223.8837784090908
CDW CANADA,2018-2019,10838.140468166252
CDW CANADA,2019-2020,19062.227064900067
CDW CANADA,2020-2021,33812.71207269961
CISTEL TECHNOLOGY,2019-2020,15572.81
CITY OF OTTAWA,2017-2018,26354.98
CNW,2020-2021,22600
CNW GROUP,2017-2018,22600
CNW GROUP,2018-2019,22600
CNW GROUP,2019-2020,22600
COSSETTE COMMUNICATIONS,2020-2021,29380
CTM MEDIA GROUP,2017-2018,13085.130000000001
CTM MEDIA GROUP,2018-2019,15419.710000000001
CTM MEDIA GROUP,2019-2020,15574.02
CTM MEDIA GROUP,2020-2021,15818.24
DELTA BEAUSEJOUR,2017-2018,44317.83
DELTA OTTAWA CITY CENTRE,2018-2019,26608.79
DELTA QUEBEC CITY,2018-2019,30189.87
DILITRUST CANADA,2018-2019,5971.276605504588
DILITRUST CANADA,2019-2020,10308.902064220185
DILITRUST CANADA,2020-2021,10280.735665137616
DLS TECHNOLOGY,2018-2019,10899.490000000002
DLS TECHNOLOGY,2020-2021,21238.929561643836
DRAFTING CLINIC CANADA THE,2019-2020,15677.835809018568
DRAFTING CLINIC CANADA THE,2020-2021,20584.208885941647
DUOSON MULTIMEDIA,2019-2020,69994.81357142857
DUOSON MULTIMEDIA,2020-2021,36352.95177740864
DYNAMIC STAFFING,2020-2021,21147.5
FCA CANADA,2017-2018,23483.573749999996
FCA CANADA,2018-2019,34322.14625
FCA CANADA,2020-2021,56164.39
FREEBALANCE,2017-2018,43260.92
FREEBALANCE,2018-2019,52361.74277657266
FREEBALANCE,2019-2020,59226.03722342734
FREEBALANCE,2020-2021,44421.52
FURLOW FINANCIAL,2018-2019,24012.5
GC STRATEGIES,2018-2019,116852.29915394557
GC STRATEGIES,2019-2020,177322.9839128047
GC STRATEGIES,2020-2021,176838.49488572052
GCSTRATEGIES,2018-2019,43618.87461300309
GCSTRATEGIES,2019-2020,108602.0959752322
GCSTRATEGIES,2020-2021,108305.3689370485
GLOBAL UPHOLSTERY,2019-2020,11322.6
GLOBAL UPHOLSTERY,2020-2021,15393.41
GLOBELITE TRAVEL MARKETING,2018-2019,2395.7801822323463
GLOBELITE TRAVEL MARKETING,2019-2020,22776.918093629723
GLOBELITE TRAVEL MARKETING,2020-2021,3755.301724137931
GRAVURE CHOQUET,2017-2018,48587.04188481675
GRAVURE CHOQUET,2018-2019,20366.623036649213
GROUPE ALITHYA,2018-2019,24834.6
GROUPE IMAGI COMMINICATION LE,2018-2019,22661.010000000002
GROUPE IMAGI COMMUNICATION LE,2019-2020,28266.6
H K COMMUNICATIONS,2018-2019,82.6829268292683
H K COMMUNICATIONS,2019-2020,10087.317073170732
H K COMMUNICATIONS,2020-2021,10509
HAYS SPECIALIST RECRUITMENT,2020-2021,35970.310000000005
HEWLETT PACKARD,2017-2018,38010.93941852542
HEWLETT PACKARD,2018-2019,19336.928642086332
HEWLETT PACKARD,2019-2020,29473.47240875912
HEWLETT PACKARD,2020-2021,29392.943795620435
HILTON LAC LEAMY,2017-2018,102869.39
HILTON LAC LEAMY,2018-2019,60842.98
HILTON LAC LEAMY,2019-2020,59796.53999999999
HOTEL CLARENDON,2018-2019,20150.55
HOTEL PUR QUEBEC,2020-2021,30167.14
IDS SYSTEMS CONSULTANTS,2017-2018,435131.8318211003
IDS SYSTEMS CONSULTANTS,2018-2019,392952.5120465389
IDS SYSTEMS CONSULTANTS,2019-2020,38701.01194784483
IDS SYSTEMS CONSULTANTS,2020-2021,493958.11589894455
INFOMART DIVISION OF MELTWATER,2018-2019,20083.660273972604
INFOMART DIVISION OF MELTWATER,2019-2020,14494.339726027398
INTU DESIGN,2018-2019,10659.645454545454
INTU DESIGN,2019-2020,47968.40454545455
IRON MOUNTAIN,2017-2018,27321.06694045175
IRON MOUNTAIN,2018-2019,27321.06694045175
IRON MOUNTAIN,2019-2020,27395.91917864477
IRON MOUNTAIN,2020-2021,27321.06694045175
ITEX,2018-2019,8255.050520547944
