d_vendor_name,d_fiscal_year,total
ADVANCED PRESENTATION PRODUCTS,2018-2019,22146.309999999998
ADVANCED SYMBOLICS 2015,2018-2019,17846.86567164179
ADVANCED SYMBOLICS 2015,2019-2020,5148.134328358209
ALTIS HUMAN RESOURCES,2017-2018,36042.600000000006
ALTIS HUMAN RESOURCES,2018-2019,51005.95673469387
ALTIS HUMAN RESOURCES,2019-2020,113180.32641137352
ALTIS HUMAN RESOURCES,2020-2021,76851.54685393258
ANTHONY MACAULEY ASSOCIATES,2017-2018,30626.049999999996
ANTHONY MACAULEY ASSOCIATES,2018-2019,8055.301902017291
ANTHONY MACAULEY ASSOCIATES,2019-2020,8988.538097982708
ANTHONY MACAULEY ASSOCIATES,2020-2021,32692.66
APPLIED ELECTONICS,2018-2019,79608.3
ARIANE GAGNON ROCQUE AVOCAT,2018-2019,50359.05
ARIANE GAGNON ROCQUE ROY CHARBONNEAU AVOCATS S E N C,2018-2019,5595.682475247526
ARIANE GAGNON ROCQUE ROY CHARBONNEAU AVOCATS S E N C,2019-2020,88642.91362397125
ARIANE GAGNON ROCQUE ROY CHARBONNEAU AVOCATS S E N C,2020-2021,156598.53390078124
ASOKAN BUSINESS INTERIORS,2019-2020,24742.760000000002
ASOKAN BUSINESS INTERIORS,2020-2021,17918.85
BARBARA MCISAAC,2017-2018,32953.595033353595
BARBARA MCISAAC,2018-2019,76619.6749666464
BARBARA MCISAAC LAW,2017-2018,51348.65826612904
BARBARA MCISAAC LAW,2018-2019,73588.34173387097
BELL CANADA,2019-2020,42625.840000000004
BENOIT PARE,2017-2018,24349.044421487604
BENOIT PARE,2018-2019,4394.705578512397
BEVA GLOBAL MANAGEMENT,2019-2020,21018
BROWN CAROLYN,2017-2018,33793.83116283839
BROWN CAROLYN,2018-2019,87500.62807629204
BROWN CAROLYN,2019-2020,38116.71195652174
BROWN CAROLYN,2020-2021,42853.328804347824
BRUEL KJAER,2017-2018,20368.97
BYWORD COMMUNICATIONS,2020-2021,39000
CANADIAN HELICOPTERS EDMONTON,2017-2018,23940
CANADIAN HELICOPTERS EDMONTON,2019-2020,17440.5
CAROLYN BROWN,2017-2018,17665.4296875
